customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
CUST-00072,Male,0,No,Yes,15,Yes,No,Fiber optic,No,Yes,No,Yes,Yes,No,Two year,No,Electronic check,93.08,1359.55,0
CUST-00073,Male,0,No,No,50,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,111.73,5626.09,1
CUST-00074,Female,0,Yes,Yes,15,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Mailed check,89.03,1419.36,0
CUST-00075,Female,1,No,No,17,Yes,No,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,79.68,1293.67,1
CUST-00076,Female,0,Yes,No,46,No,No phone service,Fiber optic,No,No,No,No,No,Yes,One year,Yes,Credit card (automatic),81.04,3706.94,0
CUST-00077,Female,0,Yes,Yes,55,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,47.44,2617.51,0
CUST-00078,Male,0,Yes,No,27,No,No phone service,DSL,No,Yes,No,Yes,No,Yes,Month-to-month,No,Electronic check,50.09,1305.46,0
CUST-00079,Male,0,Yes,Yes,55,Yes,No,DSL,No,No,No,Yes,Yes,No,One year,No,Mailed check,34.33,1874.99,0
CUST-00080,Male,0,No,No,36,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,76.8,2843.92,0
CUST-00081,Female,0,No,No,15,Yes,No,Fiber optic,No,No,No,No,Yes,No,Two year,Yes,Electronic check,83.1,1194.93,1
CUST-00082,Female,0,No,No,64,No,No phone service,Fiber optic,No,No,Yes,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),81.83,5225.1,0
CUST-00083,Male,0,No,No,59,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,85.29,5045.76,0
CUST-00084,Male,0,Yes,Yes,60,Yes,No,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Electronic check,97.32,5862.47,1
CUST-00085,Male,0,Yes,Yes,10,Yes,No,Fiber optic,No,No,No,Yes,No,No,One year,Yes,Bank transfer (automatic),38.21,338.86,0
CUST-00086,Male,0,No,Yes,65,Yes,No,Fiber optic,No,No,Yes,Yes,Yes,Yes,One year,Yes,Mailed check,80.6,5230.09,0
CUST-00087,Female,0,No,No,31,Yes,No,DSL,Yes,No,No,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),80.47,2480.08,0
CUST-00088,Female,0,Yes,Yes,18,No,No phone service,DSL,Yes,No,No,No,Yes,No,Two year,No,Credit card (automatic),60.78,1109.22,0
CUST-00089,Female,0,No,No,55,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),24.5,1288.69,0
CUST-00090,Male,0,Yes,No,4,Yes,Yes,DSL,No,Yes,No,No,No,No,One year,Yes,Electronic check,44.95,243.37,0
CUST-00091,Male,0,Yes,Yes,2,Yes,Yes,DSL,No,No,Yes,No,No,Yes,One year,Yes,Mailed check,57.57,128.04,0
CUST-00092,Female,0,Yes,No,27,Yes,No,Fiber optic,Yes,No,No,No,No,No,One year,Yes,Mailed check,77.49,2145.59,0
CUST-00093,Female,0,Yes,No,71,Yes,Yes,DSL,No,No,Yes,Yes,No,No,Two year,Yes,Electronic check,80.7,5701.14,0
CUST-00094,Female,0,No,No,28,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Credit card (automatic),118.75,3263.99,0
CUST-00095,Female,0,No,No,58,Yes,No,DSL,No,No,Yes,Yes,No,Yes,One year,Yes,Electronic check,101.65,5847.97,0
CUST-00096,Female,0,Yes,No,24,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,One year,No,Mailed check,72.76,1781.27,0
CUST-00097,Female,1,No,No,21,Yes,No,DSL,No,Yes,Yes,Yes,No,No,Two year,Yes,Electronic check,75.95,1572.91,0
CUST-00098,Male,0,No,No,70,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),111.49,7723.31,0
CUST-00099,Male,0,Yes,No,22,Yes,Yes,Fiber optic,Yes,No,Yes,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),105.78,2336.18,0
CUST-00100,Male,0,Yes,Yes,69,Yes,Yes,Fiber optic,Yes,Yes,No,No,No,Yes,One year,Yes,Credit card (automatic),87.94,6051.82,0
CUST-00101,Male,0,No,No,39,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,118.75,4616.48,0
CUST-00102,Female,0,No,Yes,13,Yes,Yes,DSL,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),49.36,556.17,0
CUST-00103,Male,0,No,Yes,28,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Mailed check,73.17,1973.31,1
CUST-00104,Female,0,Yes,No,15,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),118.75,1753.85,1
CUST-00105,Female,0,No,No,9,Yes,Yes,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Electronic check,89.01,754.71,1
CUST-00106,Male,0,Yes,No,46,Yes,No,Fiber optic,Yes,Yes,Yes,No,No,No,Two year,Yes,Mailed check,72.86,3323.09,0
CUST-00107,Male,0,Yes,Yes,3,No,No phone service,DSL,Yes,Yes,No,No,No,No,Month-to-month,No,Electronic check,73.02,260.69,0
CUST-00108,Female,0,Yes,No,11,Yes,No,DSL,No,No,No,Yes,Yes,No,One year,No,Bank transfer (automatic),76.02,783.01,0
CUST-00109,Male,0,Yes,No,41,Yes,Yes,DSL,No,No,No,No,Yes,No,Two year,Yes,Electronic check,117.44,4769.75,0
CUST-00110,Male,1,Yes,Yes,3,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Electronic check,90.52,245.2,1
CUST-00111,Male,1,Yes,No,5,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),68.73,295.48,1
CUST-00112,Male,1,Yes,No,13,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,29.9,377.93,0
CUST-00113,Female,0,No,No,34,Yes,No,DSL,No,Yes,No,Yes,No,No,Month-to-month,Yes,Credit card (automatic),56.55,1974.08,0
CUST-00114,Female,0,Yes,Yes,46,Yes,No,DSL,No,No,Yes,No,Yes,Yes,Month-to-month,No,Mailed check,77.89,3568.57,0
CUST-00115,Female,0,Yes,Yes,57,Yes,No,DSL,No,No,No,No,Yes,Yes,Month-to-month,No,Bank transfer (automatic),74.68,4269.67,0
CUST-00116,Female,0,Yes,No,64,Yes,No,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,Yes,Bank transfer (automatic),106.29,6686.5,0
CUST-00117,Female,0,Yes,No,18,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,66.72,1205.04,1
CUST-00118,Male,0,No,No,56,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,98.74,5603.23,0
CUST-00119,Female,0,Yes,Yes,64,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Bank transfer (automatic),42.09,2698.67,0
CUST-00120,Female,0,No,No,12,Yes,Yes,Fiber optic,Yes,No,No,Yes,No,Yes,Two year,Yes,Mailed check,58.55,709.01,0
CUST-00121,Female,0,Yes,No,7,Yes,No,Fiber optic,No,No,No,No,No,No,One year,Yes,Credit card (automatic),88.34,632.66,0
CUST-00122,Female,1,Yes,Yes,17,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,One year,Yes,Electronic check,118.75,2097.15,1
CUST-00123,Male,0,No,No,34,Yes,No,Fiber optic,Yes,Yes,No,No,No,No,Two year,Yes,Mailed check,71.17,2487.47,0
CUST-00124,Male,0,No,No,25,Yes,Yes,DSL,No,No,Yes,No,Yes,No,Month-to-month,No,Electronic check,94.19,2303.65,1
CUST-00125,Male,1,Yes,Yes,37,Yes,Yes,DSL,No,Yes,No,Yes,Yes,Yes,One year,Yes,Bank transfer (automatic),108.54,4076.11,0
CUST-00126,Male,0,No,Yes,65,No,No phone service,Fiber optic,Yes,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),102.86,6754.7,0
CUST-00127,Female,0,Yes,No,25,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,92.18,2218.99,1
CUST-00128,Female,0,No,No,56,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Month-to-month,No,Mailed check,68.93,3861.39,0
CUST-00129,Male,0,No,No,24,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,111.32,2697.96,1
CUST-00130,Female,1,No,No,29,Yes,No,DSL,No,Yes,No,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),41.08,1051.3,0
CUST-00131,Male,0,No,Yes,6,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),39.16,200.94,0
CUST-00132,Male,0,Yes,No,26,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Electronic check,118.75,3051.71,1
CUST-00133,Male,0,No,No,10,Yes,No,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,No,Credit card (automatic),80.43,772.04,1
CUST-00134,Male,0,Yes,Yes,7,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Credit card (automatic),40.02,332.37,0
CUST-00135,Female,1,Yes,No,10,Yes,No,Fiber optic,No,No,Yes,Yes,No,No,Two year,Yes,Mailed check,35.55,352.67,0
CUST-00136,Male,0,Yes,Yes,29,Yes,No,DSL,No,No,Yes,Yes,Yes,No,Month-to-month,Yes,Bank transfer (automatic),37.13,1097.83,0
CUST-00137,Female,0,Yes,Yes,14,Yes,Yes,DSL,Yes,No,No,No,Yes,Yes,One year,Yes,Electronic check,118.75,1666.97,1
CUST-00138,Female,0,No,Yes,55,Yes,No,Fiber optic,No,No,No,No,No,Yes,Two year,No,Electronic check,75.61,4281.96,0
CUST-00139,Male,0,No,Yes,34,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Bank transfer (automatic),61.79,2150.68,0
CUST-00140,Female,1,No,No,38,Yes,Yes,DSL,Yes,No,Yes,No,Yes,No,One year,No,Electronic check,116.0,4407.12,0
CUST-00141,Female,0,Yes,No,23,Yes,No,Fiber optic,Yes,Yes,Yes,Yes,No,No,Two year,No,Electronic check,79.48,1814.84,0
CUST-00142,Male,0,Yes,No,7,Yes,Yes,Fiber optic,Yes,No,No,Yes,Yes,Yes,One year,Yes,Bank transfer (automatic),62.79,404.7,0
CUST-00143,Female,0,No,No,42,Yes,Yes,DSL,No,Yes,No,No,No,Yes,Two year,No,Electronic check,102.36,4250.46,0
CUST-00144,Male,0,Yes,No,41,Yes,No,DSL,No,Yes,No,No,No,No,Month-to-month,No,Electronic check,90.64,3656.39,0
CUST-00145,Male,0,No,No,40,Yes,Yes,Fiber optic,No,No,No,No,No,No,Two year,Yes,Electronic check,90.57,3671.9,0
CUST-00146,Male,1,No,No,46,Yes,Yes,DSL,No,Yes,No,Yes,Yes,Yes,One year,Yes,Mailed check,69.63,3158.23,0
CUST-00147,Female,0,No,No,25,Yes,Yes,DSL,No,No,No,Yes,Yes,No,Month-to-month,Yes,Bank transfer (automatic),51.09,1309.35,0
CUST-00148,Female,1,Yes,No,51,Yes,No,DSL,No,No,No,No,No,No,Two year,Yes,Electronic check,51.82,2617.64,0
CUST-00149,Male,0,No,No,21,Yes,Yes,DSL,No,Yes,No,No,Yes,Yes,Two year,Yes,Mailed check,75.49,1547.74,0
CUST-00150,Male,0,Yes,Yes,4,Yes,No,Fiber optic,Yes,No,Yes,No,No,Yes,Month-to-month,No,Electronic check,70.74,266.45,1
CUST-00151,Female,0,No,No,14,No,No phone service,Fiber optic,No,No,No,Yes,No,No,Two year,Yes,Electronic check,84.01,1265.74,0
CUST-00152,Male,0,Yes,No,35,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,No,Electronic check,64.24,2400.28,0
CUST-00153,Male,1,Yes,No,62,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,110.62,6840.12,1
CUST-00154,Female,0,Yes,Yes,48,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,43.53,2066.53,0
CUST-00155,Female,0,No,No,54,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),87.95,4797.05,0
CUST-00156,Male,0,Yes,No,71,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Credit card (automatic),57.12,4063.15,0
CUST-00157,Female,0,Yes,Yes,59,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),72.12,4222.41,0
CUST-00158,Female,0,Yes,No,56,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Electronic check,54.76,3091.1,0
CUST-00159,Male,0,No,Yes,28,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),64.7,1849.98,0
CUST-00160,Female,0,No,No,18,Yes,Yes,DSL,No,No,No,No,No,No,One year,Yes,Bank transfer (automatic),45.74,811.32,0
CUST-00161,Male,0,No,No,72,Yes,Yes,DSL,No,Yes,No,Yes,Yes,Yes,Month-to-month,No,Electronic check,54.98,3947.96,0
CUST-00162,Female,0,No,No,9,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,No,Month-to-month,No,Electronic check,95.34,943.81,1
CUST-00163,Female,0,Yes,No,9,Yes,No,DSL,No,No,Yes,No,No,Yes,Two year,No,Mailed check,36.51,287.55,0
CUST-00164,Female,0,Yes,No,56,Yes,No,DSL,No,No,No,No,Yes,No,One year,No,Electronic check,94.03,5238.68,0
CUST-00165,Male,0,No,Yes,53,Yes,Yes,Fiber optic,No,Yes,No,Yes,No,Yes,One year,Yes,Mailed check,98.66,5205.85,0
CUST-00166,Female,1,Yes,Yes,55,Yes,No,Fiber optic,No,No,Yes,No,Yes,No,One year,Yes,Electronic check,95.9,5359.45,1
CUST-00167,Male,0,Yes,Yes,67,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,78.64,5170.05,0
CUST-00168,Male,0,Yes,Yes,68,No,No phone service,Fiber optic,No,No,Yes,No,No,No,One year,Yes,Bank transfer (automatic),52.14,3586.64,0
CUST-00169,Male,0,Yes,No,54,Yes,No,Fiber optic,No,No,Yes,No,No,Yes,Month-to-month,Yes,Mailed check,38.87,2097.51,0
CUST-00170,Female,0,Yes,No,68,Yes,No,DSL,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,49.94,3486.59,0
CUST-00171,Female,0,Yes,Yes,71,Yes,No,Fiber optic,No,Yes,No,Yes,No,Yes,One year,Yes,Bank transfer (automatic),50.52,3604.7,0
CUST-00172,Male,0,Yes,Yes,0,Yes,No,Fiber optic,Yes,Yes,Yes,No,No,No,One year,No,Mailed check,76.88,0.0,0
CUST-00173,Female,0,Yes,No,11,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,36.14,478.11,0
CUST-00174,Male,0,Yes,No,34,Yes,Yes,Fiber optic,No,Yes,No,Yes,Yes,No,One year,Yes,Electronic check,69.55,2352.9,0
CUST-00175,Female,0,Yes,No,32,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,No,Two year,Yes,Electronic check,75.45,2312.37,0
CUST-00176,Male,0,Yes,No,24,Yes,No,Fiber optic,No,Yes,No,No,No,Yes,One year,No,Bank transfer (automatic),65.76,1557.97,0
CUST-00177,Female,1,No,No,15,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,65.32,981.61,1
